18,'Melayu (Bahasa M.)','malay','ms','malay',0,
17,'Nihongo','japanese','ja','japanese',0,
16,'Italiano','italian','it','italian',1,
14,'Magyar','hungarian','hu','hungarian',1,
13,'Ellinika','greek','el','greek',0,
12,'Deutsch','german','de','german',1,
11,'Galego','galician','gl','galician',1,
15,'Indonesia (Bahasa I.)','indonesian','id','indonesian',1,
10,'Fran&ccedil;ais','french','fr','french',1,
9,'Suomi','finnish','fi','finnish',1,
8,'English','english','en','english',1,
7,'Nederlands','dutch','nl','dutch',1,
6,'Dansk','danish','da','danish',1,
5,'Hrvatski','croatian','hr','croatian',0,
4,'Catal&agrave;','catalan','ca','catalan',0,
3,'Balgarski','bulgarian','bg','bulgarian',1,
2,'Portugu&ecirc;s (Brazil)','brazilian','pt-BR','brazilian',1,
1,'Arabija (el)','arabic','ar','arabic',0,
19,'Polski','polish','pl','polish',1,
20,'Portugu&ecirc;s (Portugal)','portuguese','pt','portuguese',1,
21,'Russkij','russian','ru','russian',1,
22,'Chinese (simplified)','simpl_chinese','zh','simpl_chinese',1,
23,'Slovenscina','slovenian','sl','slovenian',1,
24,'Espa&ntilde;ol','spanish','es','spanish',1,
25,'Svenska','swedish','sv','swedish',1,
26,'Thai','thai','th','thai',1,
27,'T&uuml;rk&ccedil;e','turkce','tr','turkce',0,
28,'Vi&ecirc;t (Ti&ecirc;ng V.)','vietnamese','vi','vietnamese',0,
29,'Norsk','norwegian','no','norwegian',1,
30,'Farsi','persian','fa','persian',1,
31,'Srpski','serbian','sr','serbian',1,
32,'Bosanski','bosnian',NULL,'bosnian',1,
33,'Swahili (kiSw.)','swahili','sw','swahili',0,
34,'Esperanto','esperanto','eo','esperanto',1,
35,'Ukrainian','ukrainian','uk','ukrainian',0,
